"manual semiquantification brain","ID","sex","qPCR_swabs","Histopath_Brain","digital quantification brain","Time_Group","Vaccination_Status","qPCR Brain (RNA/ml)","Live Virus log10 brain","Live virus (PFU/mouse) brain"
"1",4,"L21_112_08_2","M/F",NA,2,4.54213994696386,"Peak of disease (5-7 dpi)","v/nc",NA,NA,NA
"2",5,"L21_112_12_2","M/F",8.02658181037885,2,7.46923908098152,"Peak of disease (5-7 dpi)","v/nc",NA,NA,NA
"3",4,"L21_112_15_2","M/F",NA,3,2.06120082189051,"Peak of disease (5-7 dpi)","v/nc",NA,NA,NA
"4",4,"L21_112_20_2","M/F",NA,2,2.57674534659683,"Peak of disease (5-7 dpi)","v/nc",NA,NA,NA
"5",5,"L21_112_10_2","M/F",8.55036107090806,2,14.5686523671698,"Peak of disease (5-7 dpi)","v/nc",NA,NA,NA
"6",5,"L21_112_01_2","M/F",2.30103,3,7.02981827634408,"Resolution (8-15 dpi)","v",6.14410002,NA,NA
"7",0,"L21_112_09_1-9_2","M/F",2.30103,0,0,"Resolution (8-15 dpi)","v",6.17193307,0,0
"8",0,"L21_112_07_1-7_2","M/F",6.79740031,0,0,"Peak of disease (5-7 dpi)","v",2.30103,0,0
"9",0,"L21_112_13_1-13_2","M/F",9.27496188,0,0,"Peak of disease (5-7 dpi)","n",11.7460431,0,0
"10",0,"L21_112_18_1-18_2","M/F",2.30103,0,0,"Peak of disease (5-7 dpi)","v",2.30103,0,0
"11",3,"L21_112_31_1-31_2","M/F",8.55036107,0,0.147662791762202,"Peak of disease (5-7 dpi)","n",11.7460431,0.597063300607812,3.95424250943932
"12",0,"L22_45_02","F",9.20666432080924,0,0,"Resolution (8-15 dpi)","v",1,NA,NA
"13",0,"L22_45_28_2","F",1,0,0,"Resolution (8-15 dpi)","v",7.47421626407626,NA,NA
"14",0,"L22_45_40_2","F",1,0,0,"Resolution (8-15 dpi)","n",1,NA,NA
"15",0,"L22_45_44_2","F",9.26951294421792,0,0,"Resolution (8-15 dpi)","n",8.40993312333129,NA,NA
"16",5,"L21_17_01","F",4.87219433530592,1,20.1194117800448,"Resolution (8-15 dpi)","v",4.27123447145513,4.74036268949424,4.74036268949424
"17",4,"L21_17_02","F",4.9520925660865,2,4.02163749446668,"Resolution (8-15 dpi)","n",4.33056538678978,0,0
"18",5,"L21_17_05","F",4.26793984116587,2,19.3140076750236,"Resolution (8-15 dpi)","n",4.43344331921134,0,0
"19",0,"L21_17_09","F",6.272853330289,0,0,"Resolution (8-15 dpi)","v",4.18284464126793,2.39794000867204,2.39794000867204
"20",0,"L21_17_12","F",5.00375898585282,0,0,"Resolution (8-15 dpi)","v",4.26064754232479,0,0
"21",2,"L22_09_19_2","M/F",0,3,0.00764122002456867,"Resolution (8-15 dpi)","v",8.2662994649212,0,0
"22",0,"L22_129_35","M",0,2,0,"Resolution (8-15 dpi)","n",7.50376647301473,-0.155541461208344,0.698970004336019
"23",0,"L22_09_17_1-2","M/F",1,0,0,"Resolution (8-15 dpi)","v",9.95472479097906,0,0
"24",0,"L22_09_26_1-2","M/F",1,0,0,"Resolution (8-15 dpi)","v",6.22271647114758,0,0
"25",4,"L22_112_07_2","M",1,3,0.491738357038681,"Resolution (8-15 dpi)","n",8.44529276942597,NA,4.15836249209525
"26",4,"L21_112_21_1-21_2","M/F",8.55036107,2,2.91774062086774,"Peak of disease (5-7 dpi)","n",6.7166519,NA,NA
"27",4,"L21_112_29_1-29_2","M/F",NA,1,2.55452480138911,"Peak of disease (5-7 dpi)","v",NA,0.617642709318375,4.14612803567824
"28",0,"L22_111_07_2","F",0,0,0,"Peak of disease (5-7 dpi)","v",0,0,0
"29",0,"L22_111_10_2","F",0,0,0,"Peak of disease (5-7 dpi)","v",0,0,0
"30",0,"L22_111_16_2","F",7.13247185268722,0,0,"Peak of disease (5-7 dpi)","n",5.44247976906445,0,0
"31",4,"L22_126_13","M",6.28604357809025,1,2.27335589506349,"Peak of disease (5-7 dpi)","n",8.75067338106855,0.806040163534139,6.39794000867204
"32",4,"L22_126_14","M",6.35087958101986,1,3.38752408766119,"Peak of disease (5-7 dpi)","n",8.77480973461816,0.806040163534139,6.39794000867204
"33",0,"L22_20_06_1_2","F",3.22831051308114,0,0,"Peak of disease (5-7 dpi)","v",4.64443908186493,0,1
"34",0,"L22_20_09_1_2","F",5.33658780181566,0,0,"Peak of disease (5-7 dpi)","n",5.83019197734779,0,1
"35",0,"L22_20_23_1_2","F",4.49103290655341,0,0,"Peak of disease (5-7 dpi)","v",5.08166588961281,0,1
"36",5,"L22_20_30_1_2","F",5.16297431365278,1,9.73643495757199,"Peak of disease (5-7 dpi)","n",8.85733249643127,5.94890176097021,5.94890176097021
"37",0,"L22_20_34_1_2","F",3.79744939386949,0,0,"Peak of disease (5-7 dpi)","v",5.35142444730487,0,1
"38",0,"L22_20_48_1_2","F",3.57002112290279,0,0,"Peak of disease (5-7 dpi)","n",5.89317948384178,3.19865708695442,3.19865708695442
"39",5,"L22_70_01_2","M",7.74698678383771,1,7.36588318593685,"Peak of disease (5-7 dpi)","n",11.8597385661971,0.854813686835577,7.15836249209525
"40",5,"L22_70_02_2","M",7.90032845014256,2,5.4309596182993,"Peak of disease (5-7 dpi)","n",9.49276038902684,6.82412583391655,6.82412583391655
"41",5,"L22_70_03_2","M",7.49097289633899,1,7.01802491059221,"Peak of disease (5-7 dpi)","n",11.0659529803139,0.893435826510646,7.82412583391655
"42",5,"L22_70_04_2","M",7.14162038469055,1,5.52463355363874,"Peak of disease (5-7 dpi)","n",10.7895807121644,0.874560765946225,7.49136169383427
"43",4,"L22_70_05_2","M",7.36163228072011,2,2.01344375812566,"Peak of disease (5-7 dpi)","n",11.248463717551,0.812335808370077,6.49136169383427
"44",5,"L22_70_06_2","M",7.69898407524929,1,7.95051567429788,"Peak of disease (5-7 dpi)","n",9.04921802267018,7.49136169383427,7.49136169383427
"45",4,"L22_70_07_2","M",7.36163228072011,2,3.09891733473956,"Peak of disease (5-7 dpi)","n",7.39763450536481,0.582532174419037,3.82412583391655
"46",0,"L22_70_23_2","M",3.02315776899802,0,0,"Peak of disease (5-7 dpi)","v",3.09916214729019,0,0
"47",0,"L22_70_28_2","M",4.78415836680808,0,0,"Peak of disease (5-7 dpi)","v",3.53118554146475,0,0
"48",0,"L22_70_47_2","M",3.49342124245521,0,0,"Peak of disease (5-7 dpi)","v",4.633,0,0
"49",0,"L22_70_53_2","M",3.17473727876249,0,0,"Peak of disease (5-7 dpi)","v",2.58846745948305,0,0
"50",0,"L22_70_60_2","M",6.01755901845596,0,0,"Peak of disease (5-7 dpi)","v",2.58846745948305,0,0
"51",0,"L22_70_64_2","M",4.93883352463607,0,0,"Peak of disease (5-7 dpi)","v",2.82448035215401,0,0
"52",0,"L21_107_01_1","F",7.00931455182559,0,0,"Peak of disease (5-7 dpi)","n",8.11498193336443,0,0
"53",5,"L21_107_04_1","F",7.46678164228791,2,11.1790870115832,"Peak of disease (5-7 dpi)","n",10.6608654780039,7.52504480703685,7.52504480703685
"54",0,"L21_107_05_1","M",8.25042000230889,0,0,"Peak of disease (5-7 dpi)","v",7.08635983067475,2.60205999132796,2.60205999132796
"55",0,"L21_107_06_1","M",7.85966441788159,0,0,"Peak of disease (5-7 dpi)","n",6.65127801399814,0,0
"56",3,"L21_107_12_1","M",6.96351715867303,1,0.147285217747791,"Peak of disease (5-7 dpi)","v",9.60540066661208,3.30102999566398,3.30102999566398
