"manual semiquantification lung","ID","qPCR_swabs","Histopath_Lung","digital quantification lung","Time_Group","Vaccination_Status","qPCR Lung (RNA/ml)","Live virus (PFU/ml)"
"1",2,"ID_945b_15-20",8.05870792066001,8,1.1328500653572,"Early infection (0-4 dpi)","n",8.91467808533711,4.40226138245468
"2",0,"ID_945b_23-27",6.94912066056022,9,0,"Early infection (0-4 dpi)","n",8.73978105624692,2.37566361396089
"3",2,"ID_945b_7-11",7.43468640311544,5,0.781600072290496,"Early infection (0-4 dpi)","n",9.35847433220635,4.60205999132796
"4",4,"ID_945c_1-5",4.97763948600603,31,29.5503236039765,"Early infection (0-4 dpi)","n",8.19168037418747,0
"5",2,"L20_68_15_1",7.06384099186062,15,3.39477022481644,"Early infection (0-4 dpi)","n",10.499695620536,0
"6",4,"L22_05_7_1",NA,29,7.07960518116091,"Early infection (0-4 dpi)","n",NA,1.69897000433602
"7",3,"L22_05_8_1",NA,28,2.83729015302016,"Early infection (0-4 dpi)","n",NA,2.69897000433602
"8",0,"L21_19_05-8",6.54979261445857,10,0,"Early infection (0-4 dpi)","n",7.72164453952379,0
"9",2,"L21_19_14",8.19443610770258,21,1.6064236416951,"Early infection (0-4 dpi)","n",10.1199807521878,1.30102999566398
"10",2,"L21_18_10-14",7.2268314038377,8,0.482323699884764,"Early infection (0-4 dpi)","n",8.34736900195746,0.819543935541869
"11",1,"L21_18_20-24",7.4686006865421,6,0.02257711877092,"Early infection (0-4 dpi)","n",8.35575195233736,0
"12",4,"L21_60_13",8.20462326997774,30,59.2183174301085,"Early infection (0-4 dpi)","n",10.7712505458239,6.30102999566398
"13",0,"L22_07_14_1 7_21_1",5.73079704478973,3,0,"Early infection (0-4 dpi)","n",7.19009770190886,0
"14",2,"L22_07_3_1 7_7_1",4.85829899082234,21,0.961404361030166,"Early infection (0-4 dpi)","n",7.9015724236216,5.94200805302231
"15",4,"L21_17_01",5.27,9,36.4052122097707,"Resolution (8-15 dpi)","v",NA,3.74036268949424
"16",0,"L21_17_09",6.272853330289,11,0,"Resolution (8-15 dpi)","v",4.13146770784502,0
"17",0,"L21_17_12",5.00375898585282,26,0,"Resolution (8-15 dpi)","v",5.36826364739526,0
"18",0,"L21_17_18",7.1274997264129,14,0,"Peak of disease (5-7 dpi)","n",9.4945054908834,2.69897000433602
"19",3,"L21_17_2",5.35003257475853,13,2.65464650650778,"Resolution (8-15 dpi)","v",4.5931432853247,0
"20",4,"L21_17_5",4.66587984983791,16,1.97761291982403,"Resolution (8-15 dpi)","v",4.15794881573485,0
"21",2,"L21_68_13",NA,18,0.221042604726022,"Resolution (8-15 dpi)","v",NA,NA
"22",0,"L21_68_20",NA,16,0,"Resolution (8-15 dpi)","v",NA,NA
"23",1,"L21_69_02",7.27028541903284,4,0.0970597047579013,"Peak of disease (5-7 dpi)","v",7.84895483444123,NA
"24",1,"L21_69_06",6.52393448547144,15,0.214412141864349,"Peak of disease (5-7 dpi)","v",7.80287136558349,NA
"25",1,"L22_17_03",7.10212142364081,21,0.222397817120422,"Peak of disease (5-7 dpi)","v",5.82818852175052,NA
"26",1,"L22_18_09",6.48704954341023,20,0.110019555597587,"Peak of disease (5-7 dpi)","v",7.50319786011601,0
"27",3,"L22_18_10",7.26006079107043,24,11.4487456545543,"Peak of disease (5-7 dpi)","v",10.3566758556586,0
"28",4,"L22_18_11",7.98366636844579,21,12.8826009218341,"Peak of disease (5-7 dpi)","n",9.29339519253871,4.69897000433602
"29",2,"L22_18_12",8.27621567329776,20,0.198976522618436,"Peak of disease (5-7 dpi)","n",9.44831997283791,3.8750612633917
"30",4,"L22_18_13",8.02944924568772,18,3.78176390733847,"Peak of disease (5-7 dpi)","n",10.4359717063993,4.88930170250631
"31",4,"L22_18_15",6.95990748587605,15,3.98486757440276,"Peak of disease (5-7 dpi)","n",10.3243853564904,5.04139268515823
"32",0,"L22_35_04",4.79401923752182,18,0,"Resolution (8-15 dpi)","v",6.58967545555297,NA
"33",3,"L21_47_01",7.34587839348176,13,5.3253860567252,"Peak of disease (5-7 dpi)","n",10.5196776362569,4.57978359661681
"34",0,"L21_47_02",7.38079427053568,7,0,"Peak of disease (5-7 dpi)","n",9.76342799356294,3.6232492903979
"35",4,"L21_47_03",6.66568134553373,28,18.8078202633038,"Peak of disease (5-7 dpi)","n",10.1238516409671,4.55630250076729
"36",3,"L21_47_04",7.0219003392135,11,18.4485892998386,"Peak of disease (5-7 dpi)","n",10.2405492482826,4.30102999566398
"37",2,"L21_47_06",6.48100883410263,16,4.72525858451391,"Peak of disease (5-7 dpi)","n",9.26481782300954,3.36172783601759
"38",1,"L21_47_11",6.35799998628741,6,0.00643737392469821,"Peak of disease (5-7 dpi)","n",0,0
"39",3,"L21_47_13",7.2477786244722,24,6.84879576641563,"Peak of disease (5-7 dpi)","n",10.4216039268698,2.97772360528885
"40",3,"L21_47_14",6.65855502204502,31,10.0569548804449,"Peak of disease (5-7 dpi)","n",10.5237464668116,4.27875360095283
"41",3,"L21_47_15",6.70905522052463,17,12.9859421953113,"Peak of disease (5-7 dpi)","n",10.7581546219674,4.34242268082221
"42",2,"L21_47_16",7.10199112421429,16,4.57068700090046,"Peak of disease (5-7 dpi)","n",9.80071707828239,2.91907809237607
"43",3,"L21_47_17",6.56600982278079,19,5.86589363769816,"Peak of disease (5-7 dpi)","n",9.80071707828239,3.61278385671974
"44",0,"L21_47_18",6.41637452453214,7,0,"Peak of disease (5-7 dpi)","n",6.42693786402729,0
"45",3,"L21_47_19",7.15829360270147,14,6.96700440791158,"Peak of disease (5-7 dpi)","n",9.87157293554588,3.32221929473392
"46",0,"L21_47_20",7.01214568237788,7,0,"Peak of disease (5-7 dpi)","n",7.94469137945447,2.27875360095283
"47",4,"L21_70_01",NA,20,37.3493619996373,"Peak of disease (5-7 dpi)","n",12.5575072019057,3.41497334797082
"48",4,"L21_70_02",NA,16,23.4499139617204,"Peak of disease (5-7 dpi)","n",12.4902788115559,4.5910646070265
"49",0,"L21_70_03",NA,1,0,"Peak of disease (5-7 dpi)","n",8.62634036737504,3.70757017609794
"50",4,"L21_70_04",NA,23,24.8171960126049,"Peak of disease (5-7 dpi)","n",11.9867717342662,4.68124123737559
"51",2,"L21_70_05",NA,19,2.68719429011012,"Peak of disease (5-7 dpi)","n",10.4297522800024,2.41497334797082
"52",2,"L21_70_06",NA,0,1.17265263008169,"Peak of disease (5-7 dpi)","n",10.5611013836491,2.30102999566398
"53",2,"L21_70_07",NA,13,1.20028310211899,"Peak of disease (5-7 dpi)","n",9.65609820201283,2.81291335664286
"54",2,"L21_70_08",NA,8,1.02276214374659,"Peak of disease (5-7 dpi)","v",7.30914595729268,2.69897000433602
"55",4,"L21_70_09",NA,36,34.6178773595198,"Peak of disease (5-7 dpi)","n",12.5477747053878,2.63346845557959
"56",4,"L21_70_10",NA,29,17.0931960840043,"Peak of disease (5-7 dpi)","n",12.0138479958718,2.7481880270062
"57",3,"L21_70_11",NA,23,7.64772675428564,"Peak of disease (5-7 dpi)","n",11.0453229787867,2.77085201164214
"58",3,"L21_70_12",NA,33,14.7973261673476,"Peak of disease (5-7 dpi)","n",11.7462051407216,4.27875360095283
"59",3,"L21_70_13",NA,11,9.50222116941305,"Peak of disease (5-7 dpi)","n",12.0827853703165,3.04139268515822
"60",3,"L21_70_14",NA,27,13.2374621117604,"Peak of disease (5-7 dpi)","n",12.3404441148401,3.04139268515822
"61",3,"L21_70_15",NA,22,9.24661857039568,"Peak of disease (5-7 dpi)","n",9.67117284271508,3.39794000867204
"62",0,"L21_70_16",NA,0,0,"Peak of disease (5-7 dpi)","n",9.67024585307412,3.32221929473392
"63",1,"L21_107_01_1",7.00931455182559,1,0.193996011705942,"Peak of disease (5-7 dpi)","n",9.18092173451877,2.06069784035361
"64",4,"L21_107_04_1",7.46678164228791,9,54.3422622302657,"Peak of disease (5-7 dpi)","n",9.67527322193558,3.34242268082221
"65",4,"L21_107_05_1",8.23496268774164,25,63.2749638123673,"Peak of disease (5-7 dpi)","n",10.2787536009528,4.38916608436453
"66",0,"L21_107_06_1",7.85966441788159,4,0,"Peak of disease (5-7 dpi)","n",9.70842090013471,3.38916608436453
"67",3,"L21_107_12_1",6.96351715867303,16,42.6141022421551,"Peak of disease (5-7 dpi)","n",10.2585380156986,3.4983105537896
"68",3,"L21_107_13_1",9.19813424463073,16,44.9712429521653,"Peak of disease (5-7 dpi)","n",9.4700497621102,3.35218251811136
"69",0,"L21_107_14_1",5.7531519206658,2,0,"Peak of disease (5-7 dpi)","n",6.05915755865055,0
"70",3,"L21_107_17_1",7.69054142837458,26,40.8337818884271,"Peak of disease (5-7 dpi)","n",8.61702111122988,2.21748394421391
"71",2,"L21_107_18_1",7.27271489073961,24,9.98739718330523,"Peak of disease (5-7 dpi)","n",8.58997438554781,2.13033376849501
"72",1,"L21_112_01",NA,16,0.389650838768509,"Peak of disease (5-7 dpi)","v",NA,0
"73",0,"L21_112_02",2.30102999566398,0,0,"Resolution (8-15 dpi)","v",6.49510887193996,0
"74",0,"L21_112_03",2.30102999566398,5,0,"Peak of disease (5-7 dpi)","v",7.98347343935644,0
"75",2,"L21_112_04",NA,7,6.09761634989252,"Peak of disease (5-7 dpi)","v",NA,0
"76",1,"L21_112_05",7.57890784280749,17,0.00683457341367183,"Peak of disease (5-7 dpi)","v",7.96504222808623,0
"77",3,"L21_112_06",NA,17,5.86417779912499,"Peak of disease (5-7 dpi)","v",NA,0
"78",0,"L21_112_07",6.79740030870729,11,0,"Peak of disease (5-7 dpi)","v",7.96504222808623,0
"79",2,"L21_112_08",NA,13,3.38547524438833,"Peak of disease (5-7 dpi)","v",NA,0
"80",1,"L21_112_09",2.30102999566398,5,0.0145504532832925,"Resolution (8-15 dpi)","v",6.07635978276811,0
"81",2,"L21_112_10",8.55036107090806,16,0.424453914056191,"Peak of disease (5-7 dpi)","v",11.0061436097166,NA
"82",1,"L21_112_11",2.30102999566398,3,0.016788598217596,"Peak of disease (5-7 dpi)","v",6.28263642134561,0
"83",3,"L21_112_12",8.02658181037885,6,6.08473522235192,"Peak of disease (5-7 dpi)","v",10.308934885532,NA
"84",0,"L21_112_13",2.30102999566398,10,0,"Peak of disease (5-7 dpi)","v",7.49443108309279,0
"85",3,"L21_112_14",8.488164601109,15,4.58938537898576,"Peak of disease (5-7 dpi)","v",11.0877811271427,NA
"86",1,"L21_112_15",NA,0,0.00561886528894954,"Peak of disease (5-7 dpi)","v",NA,0
"87",0,"L21_112_17",2.30102999566398,6,0,"Resolution (8-15 dpi)","v",6.50950704116159,0
"88",1,"L21_112_18",2.30102999566398,5,0.0537285132969547,"Resolution (8-15 dpi)","v",5.75368638010561,0
"89",0,"L21_112_19",2.30102999566398,5,0,"Resolution (8-15 dpi)","v",6.45670289403283,0
"90",3,"L21_112_20",NA,15,3.23942168656504,"Peak of disease (5-7 dpi)","v",NA,0
"91",2,"L21_112_21",NA,25,1.5103441997311,"Peak of disease (5-7 dpi)","v",NA,0
"92",1,"L21_112_22",NA,17,0.00970837175778209,"Peak of disease (5-7 dpi)","v",NA,0
"93",0,"L21_112_23",2.30102999566398,5,0,"Peak of disease (5-7 dpi)","v",7.7345581072481,0
"94",0,"L21_112_25",7.00933505538901,1,0,"Peak of disease (5-7 dpi)","v",8.79319390707719,0
"95",4,"L21_112_29",9.2749618758128,25,57.6219420671154,"Peak of disease (5-7 dpi)","n",11.6465026974676,4.14612803567824
"96",4,"L21_112_30",8.55036107090806,41,13.2234526721632,"Peak of disease (5-7 dpi)","n",11.0061436097166,3.11394335230684
"97",4,"L21_112_31",8.55036107090806,29,50.2438626773829,"Peak of disease (5-7 dpi)","n",11.8108744265395,2.35218251811136
"98",0,"L21_112_32",8.02658181037885,8,0,"Peak of disease (5-7 dpi)","n",10.308934885532,2.35218251811136
"99",4,"L21_112_36",8.488164601109,11,24.8284160313347,"Peak of disease (5-7 dpi)","n",11.0877811271427,2.32221929473392
"100",3,"L22_09_07",6.210229,12,17.2337418053748,"Early infection (0-4 dpi)","n",11.9548702220074,4.74036268949424
"101",4,"L22_09_08",4.587804,12,46.8250957785031,"Peak of disease (5-7 dpi)","n",11.3369423657072,2.66275783168157
"102",2,"L22_09_13",5.877809,0,8.29375375842815,"Early infection (0-4 dpi)","v",10.9056045391877,5.56229286445647
