"manual semiquantification brain","manual semiquantification lung","ID","sex","qPCR_swabs","Histopath_Lung","Histopath_Brain","digital quantification brain","Time_Group","Vaccination_Status","qPCR Lung (RNA/ml)","qPCR Brain (RNA/ml)","Live Virus log10 brain","Live virus (PFU/mouse) brain","Live virus (PFU/mouse) lung","digital quantification lung","qPCR Lung(RNA/ml) lung"
"1",4,2,"L21_112_08_2","M/F",NA,13,2,4.54213994696386,"Peak of disease (5-7 dpi)","v/nc",NA,NA,NA,NA,0,NA,NA
"2",5,3,"L21_112_12_2","M/F",8.02658181037885,12,2,7.46923908098152,"Peak of disease (5-7 dpi)","v/nc",10.308934885532,NA,NA,NA,NA,NA,NA
"3",4,1,"L21_112_15_2","M/F",NA,0,3,2.06120082189051,"Peak of disease (5-7 dpi)","v/nc",NA,NA,NA,NA,0,NA,NA
"4",4,2,"L21_112_20_2","M/F",NA,25,2,2.57674534659683,"Peak of disease (5-7 dpi)","v/nc",NA,NA,NA,NA,0,NA,NA
"5",5,2,"L21_112_10_2","M/F",8.55036107090806,16,2,14.5686523671698,"Peak of disease (5-7 dpi)","v/nc",11.0061436097166,NA,NA,NA,NA,NA,NA
"6",5,1,"L21_112_01_2","M/F",2.30103,16,3,7.02981827634408,"Resolution (8-15 dpi)","v",6.49510887193996,6.14410002,NA,NA,3.11394335230684,NA,NA
"7",0,1,"L21_112_09_1-9_2","M/F",2.30103,5,0,0,"Resolution (8-15 dpi)","v",2.30102999566398,6.17193307,0,0,0,NA,NA
"8",0,0,"L21_112_07_1-7_2","M/F",6.79740031,11,0,0,"Peak of disease (5-7 dpi)","v",7.96504222808623,2.30103,0,0,0,NA,NA
"9",0,0,"L21_112_13_1-13_2","M/F",9.27496188,10,0,0,"Peak of disease (5-7 dpi)","n",7.49443108309279,11.7460431,0,0,0,NA,NA
"10",0,1,"L21_112_18_1-18_2","M/F",2.30103,5,0,0,"Peak of disease (5-7 dpi)","v",5.75368638010561,2.30103,0,0,0,NA,NA
"11",3,4,"L21_112_31_1-31_2","M/F",8.55036107,18,0,0.147662791762202,"Peak of disease (5-7 dpi)","n",11.8108744265395,11.7460431,0.597063300607812,3.95424250943932,2.35218251811136,NA,NA
"12",0,0,"L22_45_02","F",9.20666432080924,2,0,0,"Resolution (8-15 dpi)","v",7.05690485133647,1,NA,NA,0,0,"7.0569048513364727"
"13",0,0,"L22_45_28_2","F",1,5,0,0,"Resolution (8-15 dpi)","v",8.2513948500401,7.47421626407626,NA,NA,0,NA,NA
"14",0,0,"L22_45_40_2","F",1,2,0,0,"Resolution (8-15 dpi)","n",0,1,NA,NA,0,NA,NA
"15",0,4,"L22_45_44_2","F",9.26951294421792,25,0,0,"Resolution (8-15 dpi)","n",10.0382712909428,8.40993312333129,NA,NA,4.26717172840301,NA,NA
"16",5,4,"L21_17_01","F",4.87219433530592,9,1,20.1194117800448,"Resolution (8-15 dpi)","v",NA,4.27123447145513,4.74036268949424,4.74036268949424,3.74036268949424,36.4052122097707,"n/a"
"17",4,3,"L21_17_02","F",4.9520925660865,15,2,4.02163749446668,"Resolution (8-15 dpi)","n",NA,4.33056538678978,0,0,0,NA,NA
"18",5,3,"L21_17_05","F",4.26793984116587,24,2,19.3140076750236,"Resolution (8-15 dpi)","n",NA,4.43344331921134,0,0,0,NA,NA
"19",0,0,"L21_17_09","F",6.272853330289,11,0,0,"Resolution (8-15 dpi)","v",4.13146770784502,4.18284464126793,2.39794000867204,2.39794000867204,0,0,"4.1314677078450153"
"20",0,0,"L21_17_12","F",5.00375898585282,26,0,0,"Resolution (8-15 dpi)","v",5.36826364739526,4.26064754232479,0,0,0,0,"5.3682636473952563"
"21",2,0,"L22_09_19_2","M/F",0,10,3,0.00764122002456867,"Resolution (8-15 dpi)","v",NA,8.2662994649212,0,0,0,NA,NA
"22",0,0,"L22_129_35","M",0,14,2,0,"Resolution (8-15 dpi)","n",NA,7.50376647301473,-0.155541461208344,0.698970004336019,0,NA,NA
"23",0,0,"L22_09_17_1-2","M/F",1,15,0,0,"Resolution (8-15 dpi)","v",7.31402148284106,9.95472479097906,0,0,0,NA,NA
"24",0,0,"L22_09_26_1-2","M/F",1,14,0,0,"Resolution (8-15 dpi)","v",7.50945542526724,6.22271647114758,0,0,0,NA,NA
"25",4,0,"L22_112_07_2","M",1,11,3,0.491738357038681,"Resolution (8-15 dpi)","n",NA,8.44529276942597,NA,4.15836249209525,0,NA,NA
"26",4,2,"L21_112_21_1-21_2","M/F",8.55036107,17,2,2.91774062086774,"Peak of disease (5-7 dpi)","n",10.308934885532,6.7166519,NA,NA,NA,NA,NA
"27",4,4,"L21_112_29_1-29_2","M/F",NA,25,1,2.55452480138911,"Peak of disease (5-7 dpi)","v",NA,NA,0.617642709318375,4.14612803567824,3.11394335230684,NA,NA
