"manual semiquantification lung","ID","qPCR_swabs","Histopath_Lung","digital quantification lung","Time_Group","Vaccination_Status","qPCR Lung (RNA/ml)","Live virus (PFU/ml)"
"1",2,"ID_945b_15-20","8.058707920660007",8,1.1328500653572,"Early infection (1-4 dpi)","n","8.9146780853371084","4.4022613824546806"
"2",0,"ID_945b_23-27","6.949120660560216",9,0,"Early infection (1-4 dpi)","n","8.7397810562469189","2.3756636139608855"
"3",2,"ID_945b_7-11","7.4346864031154372",5,0.781600072290496,"Early infection (1-4 dpi)","n","9.3584743322063506","4.6020599913279625"
"4",4,"ID_945c_1-5","4.9776394860060327",31,29.5503236039765,"Early infection (1-4 dpi)","n","8.1916803741874702","0"
"5",2,"L20_68_15_1","7.0638409918606246",15,3.39477022481644,"Early infection (1-4 dpi)","n","10.499695620536041","0"
"6",4,"L22_05_7_1",NA,29,7.07960518116091,"Early infection (1-4 dpi)","n",NA,"1.6989700043360187"
"7",3,"L22_05_8_1",NA,28,2.83729015302016,"Early infection (1-4 dpi)","n",NA,"2.6989700043360187"
"8",0,"L21_19_05-8","6.5497926144585712",10,0,"Early infection (1-4 dpi)","n","7.7216445395237914","0"
"9",2,"L21_19_14","8.1944361077025771",21,1.6064236416951,"Early infection (1-4 dpi)","n","10.119980752187757","1.3010299956639813"
"10",2,"L21_18_10-14","7.2268314038376955",8,0.482323699884764,"Early infection (1-4 dpi)","n","8.3473690019574569","0.81954393554186866"
"11",1,"L21_18_20-24","7.4686006865421026",6,0.02257711877092,"Early infection (1-4 dpi)","n","8.3557519523373642","0"
"12",4,"L21_60_13","8.2046232699777395",30,59.2183174301085,"Early infection (1-4 dpi)","n","10.771250545823934","6.3010299956639813"
"13",0,"L22_07_14_1 7_21_1","5.7307970447897283",3,0,"Early infection (1-4 dpi)","n","7.1900977019088614","0"
"14",2,"L22_07_3_1 7_7_1","4.8582989908223446",21,0.961404361030166,"Early infection (1-4 dpi)","n","7.9015724236216007","5.9420080530223132"
"15",4,"L21_17_01","5.27",9,36.4052122097707,"Resolution (8-15 dpi)","v","n/a","3.7403626894942437"
"16",0,"L21_17_09","6.2728533302890011",11,0,"Resolution (8-15 dpi)","v","4.1314677078450153","0"
"17",0,"L21_17_12","5.0037589858528211",26,0,"Resolution (8-15 dpi)","v","5.3682636473952563","0"
"18",0,"L21_17_18","7.1274997264128999",14,0,"Peak of disease (5-7 dpi)","n","9.4945054908834017","2.6989700043360187"
"19",3,"L21_17_2","5.3500325747585347",13,2.65464650650778,"Resolution (8-15 dpi)","v","4.5931432853246967","0"
"20",4,"L21_17_5","4.6658798498379115",16,1.97761291982403,"Resolution (8-15 dpi)","v","4.1579488157348514","0"
"21",2,"L21_68_13","n/a",18,0.221042604726022,"Resolution (8-15 dpi)","v","n/a","n/a"
"22",0,"L21_68_20","n/a",16,0,"Resolution (8-15 dpi)","v","n/a","n/a"
"23",1,"L21_69_02","7.2702854190328443",4,0.0970597047579013,"Peak of disease (5-7 dpi)","v","7.8489548344412281","n/a"
"24",1,"L21_69_06","6.5239344854714361",15,0.214412141864349,"Peak of disease (5-7 dpi)","v","7.8028713655834858","n/a"
"25",1,"L22_17_03","7.1021214236408072",21,0.222397817120422,"Peak of disease (5-7 dpi)","v","5.8281885217505236","n/a"
"26",1,"L22_18_09","6.487049543410234",20,0.110019555597587,"Peak of disease (5-7 dpi)","v","7.503197860116015","0"
"27",3,"L22_18_10","7.2600607910704333",24,11.4487456545543,"Peak of disease (5-7 dpi)","v","10.356675855658636","0"
"28",4,"L22_18_11","7.9836663684457863",21,12.8826009218341,"Peak of disease (5-7 dpi)","n","9.2933951925387142","4.6989700043360187"
"29",2,"L22_18_12","8.2762156732977594",20,0.198976522618436,"Peak of disease (5-7 dpi)","n","9.4483199728379095","3.8750612633917001"
"30",4,"L22_18_13","8.0294492456877204",18,3.78176390733847,"Peak of disease (5-7 dpi)","n","10.435971706399341","4.8893017025063106"
"31",4,"L22_18_15","6.9599074858760517",15,3.98486757440276,"Peak of disease (5-7 dpi)","n","10.324385356490428","5.0413926851582254"
"32",0,"L22_35_04","4.794019237521824",18,0,"Resolution (8-15 dpi)","v","6.5896754555529675","n/a"
"33",3,"L21_47_01","7.3458783934817644",13,5.3253860567252,"Peak of disease (5-7 dpi)","n","10.519677636256876","4.5797835966168101"
"34",0,"L21_47_02","7.3807942705356808",7,0,"Peak of disease (5-7 dpi)","n","9.7634279935629369","3.6232492903979003"
"35",4,"L21_47_03","6.665681345533728",28,18.8078202633038,"Peak of disease (5-7 dpi)","n","10.123851640967086","4.5563025007672868"
"36",3,"L21_47_04","7.0219003392134995",11,18.4485892998386,"Peak of disease (5-7 dpi)","n","10.240549248282599","4.3010299956639813"
"37",2,"L21_47_06","6.4810088341026306",16,4.72525858451391,"Peak of disease (5-7 dpi)","n","9.2648178230095368","3.3617278360175931"
"38",1,"L21_47_11","6.3579999862874148",6,0.00643737392469821,"Peak of disease (5-7 dpi)","n","0","0"
"39",3,"L21_47_13","7.2477786244721996",24,6.84879576641563,"Peak of disease (5-7 dpi)","n","10.421603926869832","2.9777236052888476"
"40",3,"L21_47_14","6.6585550220450234",31,10.0569548804449,"Peak of disease (5-7 dpi)","n","10.523746466811565","4.2787536009528289"
"41",3,"L21_47_15","6.7090552205246325",17,12.9859421953113,"Peak of disease (5-7 dpi)","n","10.758154621967391","4.3424226808222066"
"42",2,"L21_47_16","7.1019911242142895",16,4.57068700090046,"Peak of disease (5-7 dpi)","n","9.8007170782823856","2.9190780923760737"
"43",3,"L21_47_17","6.5660098227807859",19,5.86589363769816,"Peak of disease (5-7 dpi)","n","9.8007170782823856","3.6127838567197355"
"44",0,"L21_47_18","6.4163745245321371",7,0,"Peak of disease (5-7 dpi)","n","6.4269378640272912","0"
"45",3,"L21_47_19","7.1582936027014696",14,6.96700440791158,"Peak of disease (5-7 dpi)","n","9.8715729355458794","3.3222192947339191"
"46",0,"L21_47_20","7.0121456823778825",7,0,"Peak of disease (5-7 dpi)","n","7.9446913794544702","2.2787536009528289"
"47",4,"L21_70_01","n/a",20,37.3493619996373,"Peak of disease (5-7 dpi)","n","12.557507201905658","3.4149733479708178"
"48",4,"L21_70_02","n/a",16,23.4499139617204,"Peak of disease (5-7 dpi)","n","12.490278811555903","4.5910646070264995"
"49",0,"L21_70_03","n/a",1,0,"Peak of disease (5-7 dpi)","n","8.6263403673750432","3.7075701760979363"
"50",4,"L21_70_04","n/a",23,24.8171960126049,"Peak of disease (5-7 dpi)","n","11.986771734266245","4.6812412373755876"
"51",2,"L21_70_05","n/a",19,2.68719429011012,"Peak of disease (5-7 dpi)","n","10.429752280002408","2.4149733479708178"
"52",2,"L21_70_06","n/a",0,1.17265263008169,"Peak of disease (5-7 dpi)","n","10.561101383649056","2.3010299956639813"
"53",2,"L21_70_07","n/a",13,1.20028310211899,"Peak of disease (5-7 dpi)","n","9.6560982020128314","2.8129133566428557"
"54",2,"L21_70_08","n/a",8,1.02276214374659,"Peak of disease (5-7 dpi)","v","7.3091459572926789","2.6989700043360187"
"55",4,"L21_70_09","n/a",36,34.6178773595198,"Peak of disease (5-7 dpi)","n","12.547774705387823","2.6334684555795866"
"56",4,"L21_70_10","n/a",29,17.0931960840043,"Peak of disease (5-7 dpi)","n","12.013847995871831","2.7481880270062002"
"57",3,"L21_70_11","n/a",23,7.64772675428564,"Peak of disease (5-7 dpi)","n","11.045322978786658","2.7708520116421442"
"58",3,"L21_70_12","n/a",33,14.7973261673476,"Peak of disease (5-7 dpi)","n","11.746205140721575","4.2787536009528289"
"59",3,"L21_70_13","n/a",11,9.50222116941305,"Peak of disease (5-7 dpi)","n","12.082785370316451","3.0413926851582249"
"60",3,"L21_70_14","n/a",27,13.2374621117604,"Peak of disease (5-7 dpi)","n","12.340444114840118","3.0413926851582249"
"61",3,"L21_70_15","n/a",22,9.24661857039568,"Peak of disease (5-7 dpi)","n","9.6711728427150838","3.3979400086720375"
"62",0,"L21_70_16","n/a",0,0,"Peak of disease (5-7 dpi)","n","9.6702458530741247","3.3222192947339191"
"63",1,"L21_107_01_1","7.0093145518255904",1,0.193996011705942,"Peak of disease (5-7 dpi)","n","9.180921734518769","2.0606978403536118"
"64",4,"L21_107_04_1","7.4667816422879092",9,54.3422622302657,"Peak of disease (5-7 dpi)","n","9.6752732219355817","3.3424226808222062"
"65",4,"L21_107_05_1","8.2349626877416373",25,63.2749638123673,"Peak of disease (5-7 dpi)","n","10.278753600952829","4.3891660843645326"
"66",0,"L21_107_06_1","7.8596644178815946",4,0,"Peak of disease (5-7 dpi)","n","9.7084209001347119","3.3891660843645326"
"67",3,"L21_107_12_1","6.9635171586730271",16,42.6141022421551,"Peak of disease (5-7 dpi)","n","10.258538015698633","3.4983105537896004"
